Anio;Periodo;DatoSobreEnvejecimiento;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2006;Anual;20.92;215;21;Corralejos;Barajas
2007;Anual;20.9;215;21;Corralejos;Barajas
2008;Anual;26.08;215;21;Corralejos;Barajas
2009;Anual;30.9;215;21;Corralejos;Barajas
2010;Anual;31.43;215;21;Corralejos;Barajas
2011;Anual;31.35;215;21;Corralejos;Barajas
2012;Anual;30.36;215;21;Corralejos;Barajas
2013;Anual;29.06;215;21;Corralejos;Barajas
2014;Anual;29.47;215;21;Corralejos;Barajas
2015;Anual;29.68;215;21;Corralejos;Barajas
2016;Anual;30.49;215;21;Corralejos;Barajas
2017;Anual;31.71;215;21;Corralejos;Barajas
2018;Anual;29.65;215;21;Corralejos;Barajas
2019;Anual;31.4;215;21;Corralejos;Barajas
2020;Anual;30.0;215;21;Corralejos;Barajas
2021;Anual;27.9;215;21;Corralejos;Barajas
2022;Anual;27.4;215;21;Corralejos;Barajas
2005;Anual;22.18;163;16;Canillas;Hortaleza
2006;Anual;22.5;163;16;Canillas;Hortaleza
2007;Anual;23.01;163;16;Canillas;Hortaleza
2008;Anual;23.1;163;16;Canillas;Hortaleza
2009;Anual;23.68;163;16;Canillas;Hortaleza
2010;Anual;24.6;163;16;Canillas;Hortaleza
2011;Anual;25.39;163;16;Canillas;Hortaleza
2012;Anual;25.83;163;16;Canillas;Hortaleza
2013;Anual;26.68;163;16;Canillas;Hortaleza
2014;Anual;27.12;163;16;Canillas;Hortaleza
2015;Anual;27.53;163;16;Canillas;Hortaleza
2016;Anual;28.49;163;16;Canillas;Hortaleza
2017;Anual;29.38;163;16;Canillas;Hortaleza
2018;Anual;30.19;163;16;Canillas;Hortaleza
2019;Anual;30.5;163;16;Canillas;Hortaleza
2020;Anual;30.2;163;16;Canillas;Hortaleza
2021;Anual;31.4;163;16;Canillas;Hortaleza
2022;Anual;32.3;163;16;Canillas;Hortaleza
2005;Anual;26.43;55;5;Nueva España;Chamartín
2006;Anual;27.11;55;5;Nueva España;Chamartín
2007;Anual;28.02;55;5;Nueva España;Chamartín
2008;Anual;29.0;55;5;Nueva España;Chamartín
2009;Anual;30.86;55;5;Nueva España;Chamartín
2010;Anual;31.94;55;5;Nueva España;Chamartín
2011;Anual;32.8;55;5;Nueva España;Chamartín
2012;Anual;32.58;55;5;Nueva España;Chamartín
2013;Anual;33.61;55;5;Nueva España;Chamartín
2014;Anual;34.24;55;5;Nueva España;Chamartín
2015;Anual;34.7;55;5;Nueva España;Chamartín
2016;Anual;34.55;55;5;Nueva España;Chamartín
2017;Anual;35.68;55;5;Nueva España;Chamartín
2018;Anual;35.73;55;5;Nueva España;Chamartín
2019;Anual;35.4;55;5;Nueva España;Chamartín
2020;Anual;35.3;55;5;Nueva España;Chamartín
2021;Anual;35.7;55;5;Nueva España;Chamartín
2022;Anual;36.2;55;5;Nueva España;Chamartín
2005;Anual;17.09;158;15;Atalaya;Ciudad Lineal
2006;Anual;19.33;158;15;Atalaya;Ciudad Lineal
2007;Anual;18.07;158;15;Atalaya;Ciudad Lineal
2008;Anual;20.08;158;15;Atalaya;Ciudad Lineal
2009;Anual;21.99;158;15;Atalaya;Ciudad Lineal
2010;Anual;22.48;158;15;Atalaya;Ciudad Lineal
2011;Anual;25.16;158;15;Atalaya;Ciudad Lineal
2012;Anual;26.19;158;15;Atalaya;Ciudad Lineal
2013;Anual;28.19;158;15;Atalaya;Ciudad Lineal
2014;Anual;30.21;158;15;Atalaya;Ciudad Lineal
2015;Anual;30.47;158;15;Atalaya;Ciudad Lineal
2016;Anual;29.12;158;15;Atalaya;Ciudad Lineal
2017;Anual;28.49;158;15;Atalaya;Ciudad Lineal
2018;Anual;29.01;158;15;Atalaya;Ciudad Lineal
2019;Anual;28.7;158;15;Atalaya;Ciudad Lineal
2020;Anual;27.2;158;15;Atalaya;Ciudad Lineal
2021;Anual;27.3;158;15;Atalaya;Ciudad Lineal
2022;Anual;28.6;158;15;Atalaya;Ciudad Lineal
2005;Anual;23.73;97;9;Aravaca;Moncloa - Aravaca
2006;Anual;23.33;97;9;Aravaca;Moncloa - Aravaca
2007;Anual;24.18;97;9;Aravaca;Moncloa - Aravaca
2008;Anual;24.86;97;9;Aravaca;Moncloa - Aravaca
2009;Anual;24.86;97;9;Aravaca;Moncloa - Aravaca
2010;Anual;24.6;97;9;Aravaca;Moncloa - Aravaca
2011;Anual;25.65;97;9;Aravaca;Moncloa - Aravaca
2012;Anual;24.58;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;24.56;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;25.17;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;25.91;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;26.6;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;26.57;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;26.14;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;26.7;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;27.0;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;26.5;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;26.4;97;9;Aravaca;Moncloa - Aravaca
2005;Anual;28.43;63;6;Castillejos;Tetuán
2006;Anual;29.66;63;6;Castillejos;Tetuán
2007;Anual;31.58;63;6;Castillejos;Tetuán
2008;Anual;33.33;63;6;Castillejos;Tetuán
2009;Anual;35.2;63;6;Castillejos;Tetuán
2010;Anual;35.64;63;6;Castillejos;Tetuán
2011;Anual;36.17;63;6;Castillejos;Tetuán
2012;Anual;37.14;63;6;Castillejos;Tetuán
2013;Anual;37.65;63;6;Castillejos;Tetuán
2014;Anual;38.34;63;6;Castillejos;Tetuán
2015;Anual;38.17;63;6;Castillejos;Tetuán
2016;Anual;37.72;63;6;Castillejos;Tetuán
2017;Anual;38.02;63;6;Castillejos;Tetuán
2018;Anual;37.84;63;6;Castillejos;Tetuán
2019;Anual;37.0;63;6;Castillejos;Tetuán
2020;Anual;36.2;63;6;Castillejos;Tetuán
2021;Anual;35.5;63;6;Castillejos;Tetuán
2022;Anual;35.1;63;6;Castillejos;Tetuán
2005;Anual;21.69;211;21;Alameda de Osuna;Barajas
2006;Anual;20.71;211;21;Alameda de Osuna;Barajas
2007;Anual;20.17;211;21;Alameda de Osuna;Barajas
2008;Anual;18.91;211;21;Alameda de Osuna;Barajas
2009;Anual;18.02;211;21;Alameda de Osuna;Barajas
2010;Anual;16.81;211;21;Alameda de Osuna;Barajas
2011;Anual;16.27;211;21;Alameda de Osuna;Barajas
2012;Anual;15.98;211;21;Alameda de Osuna;Barajas
2013;Anual;15.38;211;21;Alameda de Osuna;Barajas
2014;Anual;15.48;211;21;Alameda de Osuna;Barajas
2015;Anual;15.4;211;21;Alameda de Osuna;Barajas
2016;Anual;15.81;211;21;Alameda de Osuna;Barajas
2017;Anual;16.03;211;21;Alameda de Osuna;Barajas
2018;Anual;17.51;211;21;Alameda de Osuna;Barajas
2019;Anual;18.7;211;21;Alameda de Osuna;Barajas
2020;Anual;19.6;211;21;Alameda de Osuna;Barajas
2021;Anual;21.9;211;21;Alameda de Osuna;Barajas
2022;Anual;23.4;211;21;Alameda de Osuna;Barajas
2005;Anual;29.18;66;6;Berruguete;Tetuán
2006;Anual;29.91;66;6;Berruguete;Tetuán
2007;Anual;30.99;66;6;Berruguete;Tetuán
2008;Anual;31.73;66;6;Berruguete;Tetuán
2009;Anual;33.64;66;6;Berruguete;Tetuán
2010;Anual;34.4;66;6;Berruguete;Tetuán
2011;Anual;35.96;66;6;Berruguete;Tetuán
2012;Anual;36.86;66;6;Berruguete;Tetuán
2013;Anual;38.18;66;6;Berruguete;Tetuán
2014;Anual;38.86;66;6;Berruguete;Tetuán
2015;Anual;39.52;66;6;Berruguete;Tetuán
2016;Anual;39.83;66;6;Berruguete;Tetuán
2017;Anual;39.89;66;6;Berruguete;Tetuán
2018;Anual;39.51;66;6;Berruguete;Tetuán
2019;Anual;39.4;66;6;Berruguete;Tetuán
2020;Anual;37.9;66;6;Berruguete;Tetuán
2021;Anual;37.4;66;6;Berruguete;Tetuán
2022;Anual;36.1;66;6;Berruguete;Tetuán
2005;Anual;23.32;157;15;Colina;Ciudad Lineal
2006;Anual;23.41;157;15;Colina;Ciudad Lineal
2007;Anual;23.76;157;15;Colina;Ciudad Lineal
2008;Anual;24.36;157;15;Colina;Ciudad Lineal
2009;Anual;23.95;157;15;Colina;Ciudad Lineal
2010;Anual;24.41;157;15;Colina;Ciudad Lineal
2011;Anual;25.1;157;15;Colina;Ciudad Lineal
2012;Anual;24.86;157;15;Colina;Ciudad Lineal
2013;Anual;26.22;157;15;Colina;Ciudad Lineal
2014;Anual;28.52;157;15;Colina;Ciudad Lineal
2015;Anual;29.99;157;15;Colina;Ciudad Lineal
2016;Anual;29.9;157;15;Colina;Ciudad Lineal
2017;Anual;30.68;157;15;Colina;Ciudad Lineal
2018;Anual;30.33;157;15;Colina;Ciudad Lineal
2019;Anual;30.6;157;15;Colina;Ciudad Lineal
2020;Anual;30.2;157;15;Colina;Ciudad Lineal
2021;Anual;30.9;157;15;Colina;Ciudad Lineal
2022;Anual;31.5;157;15;Colina;Ciudad Lineal
2005;Anual;16.27;162;16;Piovera;Hortaleza
2006;Anual;15.81;162;16;Piovera;Hortaleza
2007;Anual;16.68;162;16;Piovera;Hortaleza
2008;Anual;18.76;162;16;Piovera;Hortaleza
2009;Anual;20.59;162;16;Piovera;Hortaleza
2010;Anual;21.39;162;16;Piovera;Hortaleza
2011;Anual;22.54;162;16;Piovera;Hortaleza
2012;Anual;23.44;162;16;Piovera;Hortaleza
2013;Anual;23.57;162;16;Piovera;Hortaleza
2014;Anual;24.06;162;16;Piovera;Hortaleza
2015;Anual;25.04;162;16;Piovera;Hortaleza
2016;Anual;25.24;162;16;Piovera;Hortaleza
2017;Anual;25.3;162;16;Piovera;Hortaleza
2018;Anual;24.53;162;16;Piovera;Hortaleza
2019;Anual;24.3;162;16;Piovera;Hortaleza
2020;Anual;24.1;162;16;Piovera;Hortaleza
2021;Anual;24.0;162;16;Piovera;Hortaleza
2022;Anual;24.9;162;16;Piovera;Hortaleza
2005;Anual;31.8;54;5;Hispanoamérica;Chamartín
2006;Anual;32.57;54;5;Hispanoamérica;Chamartín
2007;Anual;33.68;54;5;Hispanoamérica;Chamartín
2008;Anual;35.13;54;5;Hispanoamérica;Chamartín
2009;Anual;35.78;54;5;Hispanoamérica;Chamartín
2010;Anual;36.84;54;5;Hispanoamérica;Chamartín
2011;Anual;37.22;54;5;Hispanoamérica;Chamartín
2012;Anual;37.67;54;5;Hispanoamérica;Chamartín
2013;Anual;38.06;54;5;Hispanoamérica;Chamartín
2014;Anual;38.28;54;5;Hispanoamérica;Chamartín
2015;Anual;38.57;54;5;Hispanoamérica;Chamartín
2016;Anual;38.88;54;5;Hispanoamérica;Chamartín
2017;Anual;39.26;54;5;Hispanoamérica;Chamartín
2018;Anual;39.03;54;5;Hispanoamérica;Chamartín
2019;Anual;38.6;54;5;Hispanoamérica;Chamartín
2020;Anual;37.8;54;5;Hispanoamérica;Chamartín
2021;Anual;38.0;54;5;Hispanoamérica;Chamartín
2022;Anual;38.1;54;5;Hispanoamérica;Chamartín
2005;Anual;32.38;61;6;Bellas Vistas;Tetuán
2006;Anual;33.15;61;6;Bellas Vistas;Tetuán
2007;Anual;34.1;61;6;Bellas Vistas;Tetuán
2008;Anual;34.71;61;6;Bellas Vistas;Tetuán
2009;Anual;35.82;61;6;Bellas Vistas;Tetuán
2010;Anual;36.44;61;6;Bellas Vistas;Tetuán
2011;Anual;37.51;61;6;Bellas Vistas;Tetuán
2012;Anual;37.76;61;6;Bellas Vistas;Tetuán
2013;Anual;37.83;61;6;Bellas Vistas;Tetuán
2014;Anual;38.21;61;6;Bellas Vistas;Tetuán
2015;Anual;38.36;61;6;Bellas Vistas;Tetuán
2016;Anual;37.81;61;6;Bellas Vistas;Tetuán
2017;Anual;37.63;61;6;Bellas Vistas;Tetuán
2018;Anual;36.56;61;6;Bellas Vistas;Tetuán
2019;Anual;35.2;61;6;Bellas Vistas;Tetuán
2020;Anual;33.8;61;6;Bellas Vistas;Tetuán
2021;Anual;33.3;61;6;Bellas Vistas;Tetuán
2022;Anual;32.3;61;6;Bellas Vistas;Tetuán
2005;Anual;19.28;161;16;Palomas;Hortaleza
2006;Anual;18.61;161;16;Palomas;Hortaleza
2007;Anual;17.16;161;16;Palomas;Hortaleza
2008;Anual;19.31;161;16;Palomas;Hortaleza
2009;Anual;18.33;161;16;Palomas;Hortaleza
2010;Anual;17.64;161;16;Palomas;Hortaleza
2011;Anual;17.93;161;16;Palomas;Hortaleza
2012;Anual;17.96;161;16;Palomas;Hortaleza
2013;Anual;16.82;161;16;Palomas;Hortaleza
2014;Anual;17.63;161;16;Palomas;Hortaleza
2015;Anual;17.31;161;16;Palomas;Hortaleza
2016;Anual;17.59;161;16;Palomas;Hortaleza
2017;Anual;17.78;161;16;Palomas;Hortaleza
2018;Anual;19.06;161;16;Palomas;Hortaleza
2019;Anual;19.2;161;16;Palomas;Hortaleza
2020;Anual;19.7;161;16;Palomas;Hortaleza
2021;Anual;20.9;161;16;Palomas;Hortaleza
2022;Anual;21.9;161;16;Palomas;Hortaleza
2005;Anual;33.24;62;6;Cuatro Caminos;Tetuán
2006;Anual;33.88;62;6;Cuatro Caminos;Tetuán
2007;Anual;35.19;62;6;Cuatro Caminos;Tetuán
2008;Anual;35.86;62;6;Cuatro Caminos;Tetuán
2009;Anual;36.43;62;6;Cuatro Caminos;Tetuán
2010;Anual;37.11;62;6;Cuatro Caminos;Tetuán
2011;Anual;37.54;62;6;Cuatro Caminos;Tetuán
2012;Anual;37.24;62;6;Cuatro Caminos;Tetuán
2013;Anual;37.57;62;6;Cuatro Caminos;Tetuán
2014;Anual;37.95;62;6;Cuatro Caminos;Tetuán
2015;Anual;38.41;62;6;Cuatro Caminos;Tetuán
2016;Anual;38.32;62;6;Cuatro Caminos;Tetuán
2017;Anual;38.01;62;6;Cuatro Caminos;Tetuán
2018;Anual;37.52;62;6;Cuatro Caminos;Tetuán
2019;Anual;36.7;62;6;Cuatro Caminos;Tetuán
2020;Anual;35.4;62;6;Cuatro Caminos;Tetuán
2021;Anual;34.9;62;6;Cuatro Caminos;Tetuán
2022;Anual;34.6;62;6;Cuatro Caminos;Tetuán
2005;Anual;20.24;156;15;San Juan Bautista;Ciudad Lineal
2006;Anual;20.98;156;15;San Juan Bautista;Ciudad Lineal
2007;Anual;22.06;156;15;San Juan Bautista;Ciudad Lineal
2008;Anual;23.16;156;15;San Juan Bautista;Ciudad Lineal
2009;Anual;24.03;156;15;San Juan Bautista;Ciudad Lineal
2010;Anual;24.72;156;15;San Juan Bautista;Ciudad Lineal
2011;Anual;26.37;156;15;San Juan Bautista;Ciudad Lineal
2012;Anual;26.91;156;15;San Juan Bautista;Ciudad Lineal
2013;Anual;28.4;156;15;San Juan Bautista;Ciudad Lineal
2014;Anual;28.88;156;15;San Juan Bautista;Ciudad Lineal
2015;Anual;30.1;156;15;San Juan Bautista;Ciudad Lineal
2016;Anual;30.63;156;15;San Juan Bautista;Ciudad Lineal
2017;Anual;31.69;156;15;San Juan Bautista;Ciudad Lineal
2018;Anual;33.62;156;15;San Juan Bautista;Ciudad Lineal
2019;Anual;33.5;156;15;San Juan Bautista;Ciudad Lineal
2020;Anual;33.3;156;15;San Juan Bautista;Ciudad Lineal
2021;Anual;34.2;156;15;San Juan Bautista;Ciudad Lineal
2022;Anual;34.3;156;15;San Juan Bautista;Ciudad Lineal
2005;Anual;29.03;52;5;Prosperidad;Chamartín
2006;Anual;29.15;52;5;Prosperidad;Chamartín
2007;Anual;30.02;52;5;Prosperidad;Chamartín
2008;Anual;30.71;52;5;Prosperidad;Chamartín
2009;Anual;31.35;52;5;Prosperidad;Chamartín
2010;Anual;31.85;52;5;Prosperidad;Chamartín
2011;Anual;32.18;52;5;Prosperidad;Chamartín
2012;Anual;32.74;52;5;Prosperidad;Chamartín
2013;Anual;32.49;52;5;Prosperidad;Chamartín
2014;Anual;32.42;52;5;Prosperidad;Chamartín
2015;Anual;32.78;52;5;Prosperidad;Chamartín
2016;Anual;32.99;52;5;Prosperidad;Chamartín
2017;Anual;33.35;52;5;Prosperidad;Chamartín
2018;Anual;32.95;52;5;Prosperidad;Chamartín
2019;Anual;32.4;52;5;Prosperidad;Chamartín
2020;Anual;31.8;52;5;Prosperidad;Chamartín
2021;Anual;32.4;52;5;Prosperidad;Chamartín
2022;Anual;32.7;52;5;Prosperidad;Chamartín
2005;Anual;29.35;53;5;Ciudad Jardín;Chamartín
2006;Anual;30.43;53;5;Ciudad Jardín;Chamartín
2007;Anual;31.77;53;5;Ciudad Jardín;Chamartín
2008;Anual;32.58;53;5;Ciudad Jardín;Chamartín
2009;Anual;33.59;53;5;Ciudad Jardín;Chamartín
2010;Anual;34.51;53;5;Ciudad Jardín;Chamartín
2011;Anual;35.81;53;5;Ciudad Jardín;Chamartín
2012;Anual;35.66;53;5;Ciudad Jardín;Chamartín
2013;Anual;36.56;53;5;Ciudad Jardín;Chamartín
2014;Anual;37.02;53;5;Ciudad Jardín;Chamartín
2015;Anual;37.29;53;5;Ciudad Jardín;Chamartín
2016;Anual;37.54;53;5;Ciudad Jardín;Chamartín
2017;Anual;37.5;53;5;Ciudad Jardín;Chamartín
2018;Anual;36.62;53;5;Ciudad Jardín;Chamartín
2019;Anual;36.2;53;5;Ciudad Jardín;Chamartín
2020;Anual;35.4;53;5;Ciudad Jardín;Chamartín
2021;Anual;34.9;53;5;Ciudad Jardín;Chamartín
2022;Anual;34.5;53;5;Ciudad Jardín;Chamartín
2005;Anual;31.52;51;5;El Viso;Chamartín
2006;Anual;31.6;51;5;El Viso;Chamartín
2007;Anual;32.15;51;5;El Viso;Chamartín
2008;Anual;32.7;51;5;El Viso;Chamartín
2009;Anual;33.72;51;5;El Viso;Chamartín
2010;Anual;33.09;51;5;El Viso;Chamartín
2011;Anual;33.86;51;5;El Viso;Chamartín
2012;Anual;34.36;51;5;El Viso;Chamartín
2013;Anual;35.35;51;5;El Viso;Chamartín
2014;Anual;35.73;51;5;El Viso;Chamartín
2015;Anual;36.67;51;5;El Viso;Chamartín
2016;Anual;36.91;51;5;El Viso;Chamartín
2017;Anual;37.18;51;5;El Viso;Chamartín
2018;Anual;36.81;51;5;El Viso;Chamartín
2019;Anual;36.1;51;5;El Viso;Chamartín
2020;Anual;35.6;51;5;El Viso;Chamartín
2021;Anual;35.4;51;5;El Viso;Chamartín
2022;Anual;35.7;51;5;El Viso;Chamartín
2005;Anual;29.09;91;9;Casa de Campo;Moncloa - Aravaca
2006;Anual;29.8;91;9;Casa de Campo;Moncloa - Aravaca
2007;Anual;31.05;91;9;Casa de Campo;Moncloa - Aravaca
2008;Anual;32.14;91;9;Casa de Campo;Moncloa - Aravaca
2009;Anual;34.2;91;9;Casa de Campo;Moncloa - Aravaca
2010;Anual;35.73;91;9;Casa de Campo;Moncloa - Aravaca
2011;Anual;37.01;91;9;Casa de Campo;Moncloa - Aravaca
2012;Anual;38.16;91;9;Casa de Campo;Moncloa - Aravaca
2013;Anual;40.13;91;9;Casa de Campo;Moncloa - Aravaca
2014;Anual;42.15;91;9;Casa de Campo;Moncloa - Aravaca
2015;Anual;43.78;91;9;Casa de Campo;Moncloa - Aravaca
2016;Anual;43.83;91;9;Casa de Campo;Moncloa - Aravaca
2017;Anual;44.74;91;9;Casa de Campo;Moncloa - Aravaca
2018;Anual;45.18;91;9;Casa de Campo;Moncloa - Aravaca
2019;Anual;44.0;91;9;Casa de Campo;Moncloa - Aravaca
2020;Anual;42.6;91;9;Casa de Campo;Moncloa - Aravaca
2021;Anual;41.7;91;9;Casa de Campo;Moncloa - Aravaca
2022;Anual;41.0;91;9;Casa de Campo;Moncloa - Aravaca
2005;Anual;21.13;206;20;Rejas;San Blas - Canillejas
2006;Anual;23.14;206;20;Rejas;San Blas - Canillejas
2007;Anual;26.14;206;20;Rejas;San Blas - Canillejas
2008;Anual;27.84;206;20;Rejas;San Blas - Canillejas
2009;Anual;30.69;206;20;Rejas;San Blas - Canillejas
2010;Anual;34.17;206;20;Rejas;San Blas - Canillejas
2011;Anual;37.92;206;20;Rejas;San Blas - Canillejas
2012;Anual;41.43;206;20;Rejas;San Blas - Canillejas
2013;Anual;43.31;206;20;Rejas;San Blas - Canillejas
2014;Anual;44.82;206;20;Rejas;San Blas - Canillejas
2015;Anual;45.6;206;20;Rejas;San Blas - Canillejas
2016;Anual;45.24;206;20;Rejas;San Blas - Canillejas
2017;Anual;44.02;206;20;Rejas;San Blas - Canillejas
2018;Anual;43.61;206;20;Rejas;San Blas - Canillejas
2019;Anual;41.2;206;20;Rejas;San Blas - Canillejas
2020;Anual;39.5;206;20;Rejas;San Blas - Canillejas
2021;Anual;37.9;206;20;Rejas;San Blas - Canillejas
2022;Anual;36.5;206;20;Rejas;San Blas - Canillejas
2005;Anual;23.38;208;20;El Salvador;San Blas - Canillejas
2006;Anual;23.39;208;20;El Salvador;San Blas - Canillejas
2007;Anual;23.96;208;20;El Salvador;San Blas - Canillejas
2008;Anual;24.92;208;20;El Salvador;San Blas - Canillejas
2009;Anual;26.6;208;20;El Salvador;San Blas - Canillejas
2010;Anual;27.22;208;20;El Salvador;San Blas - Canillejas
2011;Anual;28.28;208;20;El Salvador;San Blas - Canillejas
2012;Anual;29.48;208;20;El Salvador;San Blas - Canillejas
2013;Anual;31.13;208;20;El Salvador;San Blas - Canillejas
2014;Anual;31.68;208;20;El Salvador;San Blas - Canillejas
2015;Anual;32.9;208;20;El Salvador;San Blas - Canillejas
2016;Anual;33.47;208;20;El Salvador;San Blas - Canillejas
2017;Anual;33.66;208;20;El Salvador;San Blas - Canillejas
2018;Anual;33.54;208;20;El Salvador;San Blas - Canillejas
2019;Anual;33.7;208;20;El Salvador;San Blas - Canillejas
2020;Anual;33.1;208;20;El Salvador;San Blas - Canillejas
2021;Anual;33.0;208;20;El Salvador;San Blas - Canillejas
2022;Anual;31.9;208;20;El Salvador;San Blas - Canillejas
2005;Anual;18.33;205;20;Rosas;San Blas - Canillejas
2006;Anual;16.47;205;20;Rosas;San Blas - Canillejas
2007;Anual;16.69;205;20;Rosas;San Blas - Canillejas
2008;Anual;17.47;205;20;Rosas;San Blas - Canillejas
2009;Anual;17.61;205;20;Rosas;San Blas - Canillejas
2010;Anual;20.51;205;20;Rosas;San Blas - Canillejas
2011;Anual;21.96;205;20;Rosas;San Blas - Canillejas
2012;Anual;22.41;205;20;Rosas;San Blas - Canillejas
2013;Anual;24.15;205;20;Rosas;San Blas - Canillejas
2014;Anual;25.1;205;20;Rosas;San Blas - Canillejas
2015;Anual;26.11;205;20;Rosas;San Blas - Canillejas
2016;Anual;26.63;205;20;Rosas;San Blas - Canillejas
2017;Anual;27.31;205;20;Rosas;San Blas - Canillejas
2018;Anual;27.48;205;20;Rosas;San Blas - Canillejas
2019;Anual;27.9;205;20;Rosas;San Blas - Canillejas
2020;Anual;27.1;205;20;Rosas;San Blas - Canillejas
2021;Anual;27.9;205;20;Rosas;San Blas - Canillejas
2022;Anual;28.4;205;20;Rosas;San Blas - Canillejas
2005;Anual;21.97;207;20;Canillejas;San Blas - Canillejas
2006;Anual;22.27;207;20;Canillejas;San Blas - Canillejas
2007;Anual;23.35;207;20;Canillejas;San Blas - Canillejas
2008;Anual;24.09;207;20;Canillejas;San Blas - Canillejas
2009;Anual;25.14;207;20;Canillejas;San Blas - Canillejas
2010;Anual;26.0;207;20;Canillejas;San Blas - Canillejas
2011;Anual;27.18;207;20;Canillejas;San Blas - Canillejas
2012;Anual;27.84;207;20;Canillejas;San Blas - Canillejas
2013;Anual;28.8;207;20;Canillejas;San Blas - Canillejas
2014;Anual;29.74;207;20;Canillejas;San Blas - Canillejas
2015;Anual;30.78;207;20;Canillejas;San Blas - Canillejas
2016;Anual;31.88;207;20;Canillejas;San Blas - Canillejas
2017;Anual;33.15;207;20;Canillejas;San Blas - Canillejas
2018;Anual;34.04;207;20;Canillejas;San Blas - Canillejas
2019;Anual;33.7;207;20;Canillejas;San Blas - Canillejas
2020;Anual;33.5;207;20;Canillejas;San Blas - Canillejas
2021;Anual;33.7;207;20;Canillejas;San Blas - Canillejas
2022;Anual;33.4;207;20;Canillejas;San Blas - Canillejas
2005;Anual;23.61;155;15;San Pascual;Ciudad Lineal
2006;Anual;23.86;155;15;San Pascual;Ciudad Lineal
2007;Anual;24.01;155;15;San Pascual;Ciudad Lineal
2008;Anual;25.33;155;15;San Pascual;Ciudad Lineal
2009;Anual;26.4;155;15;San Pascual;Ciudad Lineal
2010;Anual;27.05;155;15;San Pascual;Ciudad Lineal
2011;Anual;28.33;155;15;San Pascual;Ciudad Lineal
2012;Anual;29.25;155;15;San Pascual;Ciudad Lineal
2013;Anual;29.72;155;15;San Pascual;Ciudad Lineal
2014;Anual;30.45;155;15;San Pascual;Ciudad Lineal
2015;Anual;31.13;155;15;San Pascual;Ciudad Lineal
2016;Anual;31.78;155;15;San Pascual;Ciudad Lineal
2017;Anual;32.59;155;15;San Pascual;Ciudad Lineal
2018;Anual;33.23;155;15;San Pascual;Ciudad Lineal
2019;Anual;33.4;155;15;San Pascual;Ciudad Lineal
2020;Anual;33.3;155;15;San Pascual;Ciudad Lineal
2021;Anual;33.8;155;15;San Pascual;Ciudad Lineal
2022;Anual;33.6;155;15;San Pascual;Ciudad Lineal
2005;Anual;34.51;76;7;Vallehermoso;Chamberí
2006;Anual;35.16;76;7;Vallehermoso;Chamberí
2007;Anual;35.87;76;7;Vallehermoso;Chamberí
2008;Anual;36.94;76;7;Vallehermoso;Chamberí
2009;Anual;37.41;76;7;Vallehermoso;Chamberí
2010;Anual;37.43;76;7;Vallehermoso;Chamberí
2011;Anual;37.18;76;7;Vallehermoso;Chamberí
2012;Anual;37.61;76;7;Vallehermoso;Chamberí
2013;Anual;37.98;76;7;Vallehermoso;Chamberí
2014;Anual;38.75;76;7;Vallehermoso;Chamberí
2015;Anual;38.56;76;7;Vallehermoso;Chamberí
2016;Anual;38.65;76;7;Vallehermoso;Chamberí
2017;Anual;38.55;76;7;Vallehermoso;Chamberí
2018;Anual;38.22;76;7;Vallehermoso;Chamberí
2019;Anual;37.4;76;7;Vallehermoso;Chamberí
2020;Anual;36.8;76;7;Vallehermoso;Chamberí
2021;Anual;36.8;76;7;Vallehermoso;Chamberí
2022;Anual;37.1;76;7;Vallehermoso;Chamberí
2005;Anual;35.88;75;7;Ríos Rosas;Chamberí
2006;Anual;35.78;75;7;Ríos Rosas;Chamberí
2007;Anual;35.95;75;7;Ríos Rosas;Chamberí
2008;Anual;36.58;75;7;Ríos Rosas;Chamberí
2009;Anual;36.84;75;7;Ríos Rosas;Chamberí
2010;Anual;37.33;75;7;Ríos Rosas;Chamberí
2011;Anual;37.36;75;7;Ríos Rosas;Chamberí
2012;Anual;37.98;75;7;Ríos Rosas;Chamberí
2013;Anual;38.11;75;7;Ríos Rosas;Chamberí
2014;Anual;38.12;75;7;Ríos Rosas;Chamberí
2015;Anual;38.26;75;7;Ríos Rosas;Chamberí
2016;Anual;38.6;75;7;Ríos Rosas;Chamberí
2017;Anual;38.55;75;7;Ríos Rosas;Chamberí
2018;Anual;38.05;75;7;Ríos Rosas;Chamberí
2019;Anual;37.1;75;7;Ríos Rosas;Chamberí
2020;Anual;36.1;75;7;Ríos Rosas;Chamberí
2021;Anual;35.6;75;7;Ríos Rosas;Chamberí
2022;Anual;35.6;75;7;Ríos Rosas;Chamberí
2005;Anual;27.88;154;15;La Concepción;Ciudad Lineal
2006;Anual;29.71;154;15;La Concepción;Ciudad Lineal
